Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60431604,Det tørre hjertet,Natalia Ginzburg,"Ginzburg, Natalia",,"=""""","=""9788249524785""",5,3.99,Oktober,Hardcover,119,2022,1947,2024/01/09,2024/01/09,,,read,Jeg hadde også skutt mannen min om han var såpass udugelig,,,1,0
17053978,Olavs draumar,Jon Fosse,"Fosse, Jon",,"=""9788252180""","=""""",4,3.90,Samlaget,Hardcover,79,2012,2012,2024/01/05,2024/01/05,,,read,"Skummelt, ja nesten klaustrofobisk!",,,1,0
6779855,If I Were Another: Poems,Mahmoud Darwish,"Darwish, Mahmoud",Fady Joudah,"=""0374174296""","=""9780374174293""",0,4.48,"Farrar, Straus and Giroux",Hardcover,240,2009,2009,,2024/01/05,to-read,to-read (#14),to-read,,,,0,0
108342633,Andre tider,Ali Smith,"Smith, Ali",Merete Alfsen,"=""""","=""9788249526017""",3,3.85,Forlaget Oktober,Hardcover,209,2023,2022,2024/01/04,2024/01/04,,,read,"3,5",,,1,0
49689256,Det andre namnet - Septologien I - II,Jon Fosse,"Fosse, Jon",,"=""""","=""9788252196177""",5,4.11,Samlaget,Hardcover,516,2019,2019,2023/12/28,2023/12/10,,,read,,,,1,0
57739211,Skugga och svalka,Quynh Tran,"Tran, Quynh",,"=""""","=""9789523333932""",5,3.33,Förlaget,Hardcover,200,2021,2021,2023/02/14,2022/05/19,,,read,"Veldig veldig søt egentlig, innvandrerroman men føles fersk og unik",,,1,0
57591125,Til fyret,Virginia Woolf,"Woolf, Virginia",Brit Bildøen,"=""""","=""9788279593164""",4,3.80,Skald,Hardcover,260,2021,1927,2023/06/17,2023/06/13,,,read,"Yooo no way dude de drar til fyret men samtidig er boken en reise de literally drar til fyret fysisk men også litterært broooo<br/><br/>(Litt treg i starten, mange navn å holde styr på, men veldig kul og godt skrevet)",,,1,0
54785558,Second Place,Rachel Cusk,"Cusk, Rachel",,"=""0374279225""","=""9780374279226""",4,3.69,"Farrar, Straus and Giroux",Hardcover,186,2021,2021,2023/10/11,2023/10/11,,,read,"""Wow this is kinda like to the lighthouse"" - guy who has only read one other book by a female author",,,1,0
129263635,Happening,Annie Ernaux,"Ernaux, Annie",Tanya Leslie,"=""1609809483""","=""9781609809485""",5,4.32,Seven Stories Press,Paperback,96,2022,2000,2023/10/14,2023/10/14,,,read,,,,1,0
46041199,"Kim Jiyoung, Born 1982",Cho Nam-joo,"Nam-joo, Cho",Jamie Chang,"=""1631496700""","=""9781631496707""",4,4.17,Liveright,Hardcover,163,2020,2016,2023/01/01,2023/10/24,,,read,,,,1,0
249340,Og aldri skal vi skiljast,Jon Fosse,"Fosse, Jon",,"=""8252143512""","=""9788252143515""",4,4.00,Det Norske samlaget,Hardcover,81,1994,1994,2023/10/27,2023/10/26,,,read,Hihi...,,,1,0
144711751,Maskiner som tenker,Inga Strümke,"Strümke, Inga",,"=""""","=""9788248932505""",3,4.38,Kagge forlag,Hardcover,309,2023,2023,2023/12/09,2023/12/08,,,read,"AI, schmAI<br/><br/>(men en veldig fin og forståelig popvitenskapbok om man vil lære mer om ai osv)",,,1,0
59418414,Things You May Find Hidden in My Ear: Poems from Gaza,Mosab Abu Toha,"Toha, Mosab Abu",,"=""0872868605""","=""9780872868601""",0,4.73,City Lights Publishers,Paperback,144,2022,2022,,2023/12/26,currently-reading,currently-reading (#3),currently-reading,,,,1,0
1429333,Anxiety of Words: Contemporary Poetry by Korean Women (Korean Edition),Ch'oe Sung-Ja,"Sung-Ja, Ch'oe","Kim Hyesoon, Yi Yon-ju, Don Mee Choi","=""0939010879""","=""9780939010875""",0,4.35,Zephyr Press,Paperback,175,2006,2006,,2023/10/14,currently-reading,currently-reading (#2),currently-reading,,,,1,0
66933,The Wretched of the Earth,Frantz Fanon,"Fanon, Frantz","Homi K. Bhabha, Richard Philcox, Jean-Paul Sartre","=""0802141323""","=""9780802141323""",0,4.31,Grove Press,Paperback,251,2005,1961,,2023/09/23,currently-reading,currently-reading (#1),currently-reading,,,,1,0
92057,The Autobiography of Malcolm X,Malcolm X,"X, Malcolm",Alex Haley,"=""""","=""""",0,4.35,Ballantine Books,Mass Market Paperback,466,2015,1965,,2023/09/23,to-read,to-read (#13),to-read,,,,0,0
60811296,En kvinnes frigjøring,Édouard Louis,"Louis, Édouard",Egil Halmøy,"=""8203369189""","=""9788203369186""",4,4.11,Aschehoug,Hardcover,108,2022,2021,2023/06/26,2023/06/13,,,read,,,,1,0
3310087,Brannen,Tarjei Vesaas,"Vesaas, Tarjei",,"=""""","=""""",5,3.90,Gyldendal,Hardcover,209,1961,1961,,2022/12/27,,,read,Dette var meg etter pandemien ,,,1,0
46116491,Sommeren 58,Annie Ernaux,"Ernaux, Annie",Per Buvik,"=""""","=""9788293441137""",0,3.88,Mime forlag,Hardcover,148,2019,2016,,2022/12/27,to-read,to-read (#12),to-read,,,,0,0
62353546,Den unge mannen,Annie Ernaux,"Ernaux, Annie",Henninge Margrethe Solberg,"=""""","=""9788205578630""",0,3.63,Gyldendal Norsk Forlag,Hardcover,39,2022,2022,,2022/12/27,to-read,to-read (#11),to-read,,,,0,0
60815515,Prosessen,Franz Kafka,"Kafka, Franz",Jon Fosse,"=""""","=""9788279593379""",5,3.96,Skald AS,ebook,264,2022,1925,,2022/11/14,,,read,Funniest shit I've ever read,,,1,0
12857,The Gambler,Fyodor Dostoevsky,"Dostoevsky, Fyodor",Constance Garnett,"=""""","=""""",0,3.91,Modern Library,Paperback,188,2003,1866,,2022/06/22,to-read,to-read (#10),to-read,,,,0,0
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,"=""0142000671""","=""9780142000670""",0,3.88,Penguin Books,Paperback,107,2002,1937,,2022/06/22,to-read,to-read (#9),to-read,,,,0,0
58662431,Lausgjengar - notat frå eit ustadig liv,Fumiko Hayashi,"Hayashi, Fumiko",,"=""""","=""9788279593287""",4,3.63,,,260,,1927,,2022/04/15,,,read,"som sult, men bedre. ganske trist, men i det minste var den revolusjonerende i sin samtid.",,,1,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",4,3.75,Alfred A. Knopf,Hardcover,303,2021,2021,,2021/07/08,,,read,this book isn't about ai it's about feelings and humanity ,,,1,0
9592,Mother Night,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385334141""","=""9780385334143""",4,4.22,Dial Press,Paperback,282,1999,1961,,2021/12/13,,,read,"book that make you go ""hmm"", even today!",,,1,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",4,4.02,Vintage International,Paperback,159,1989,1942,2021/10/28,2021/07/08,,,read,"Wow, it's like absurd or something!",,,1,0
3185972,Vildanden,Henrik Ibsen,"Ibsen, Henrik",,"=""8205004714""","=""9788205004719""",0,3.79,Gyldendal Norsk Forlag,Hardcover,127,1976,1884,,2021/07/08,,,read,,,,1,0
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451526341""","=""9780451526342""",0,3.98,Signet Classics,Mass Market Paperback,128,1996,1945,,2021/07/08,,,read,,,,1,0
54614599,First Person Singular: Stories,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0593318072""","=""9780593318072""",4,3.54,Knopf,Hardcover,245,2021,2020,,2021/02/23,,,read,it's like everything else murakami has written tbh,,,1,0
25200,Silence,Shūsaku Endō,"Endō, Shūsaku",William Johnston,"=""0800871863""","=""9780800871864""",0,4.08,Taplinger Publishing Company,Paperback,219,1980,1966,,2021/02/01,to-read,to-read (#8),to-read,,,,0,0
41804,"I, Robot (Robot, #0.1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803700""","=""9780553803709""",0,4.21,Bantam Books,Hardcover,224,2004,1950,,2021/02/01,to-read,to-read (#7),to-read,,,,0,0
99245,Nightfall,Isaac Asimov,"Asimov, Isaac",Robert Silverberg,"=""0553290991""","=""9780553290998""",0,4.05,Bantam Books,Mass Market Paperback,339,2012,1990,,2021/02/01,to-read,to-read (#6),to-read,,,,0,0
41019645,"Byens Spor: Maj (Byens Spor, #2)",Lars Saabye Christensen,"Christensen, Lars Saabye",,"=""8202588758""","=""9788202588755""",5,4.40,Cappelen Damm,Hardcover,544,2018,2018,,2021/01/20,,,read,Only byfolk can relate,,,1,0
23316548,The Book of Negroes,Lawrence Hill,"Hill, Lawrence",,"=""0393351394""","=""9780393351392""",0,4.46,W. W. Norton & Company,Paperback,512,2015,2007,,2021/01/02,to-read,to-read (#5),to-read,,,,0,0
22371082,Søstrene Makioka,Jun'ichirō Tanizaki,"Tanizaki, Jun'ichirō",,"=""""","=""9788275476560""",0,4.04,Forlaget Press,Hardcover,692,2014,1948,,2021/01/02,to-read,to-read (#4),to-read,,,,0,0
3166794,Tilværelsens uutholdelige letthet,Milan Kundera,"Kundera, Milan",,"=""""","=""9788202242084""",4,4.11,Cappelen,Paperback,316,2006,1984,2020/11/23,2020/06/16,,,read,I still have no idea what the title means :),,,1,0
23128304,The Strange Library,Haruki Murakami,"Murakami, Haruki",Ted Goossen,"=""0385354304""","=""9780385354301""",3,3.55,Knopf,Paperback,96,2014,2005,2020/11/26,2020/11/23,,,read,"It's a very pretty book, I'd love to own a copy. <br/>Good for what it is: a short, absurdist children's story.<br/>I'd reccomend it to my siblings, then pray they never read another Murakami book.<br/>(3,5)",,,1,0
449573,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,"Hawking, Stephen",,"=""0641587716""","=""9780641587719""",0,4.18,New Millennium Entertainment,Hardcover,176,2002,2002,,2020/10/09,to-read,to-read (#3),to-read,,,,0,0
31929282,Kalkulus,Tom Lindstrøm,"Lindstrøm, Tom",,"=""8215027105""","=""9788215027104""",4,4.37,Universitetsforlaget,Paperback,840,2016,2006,,2020/09/04,,,read,"bra bok, litt lang, mangler et kapittel, shoutout Tom Lindstrøm",,,1,0
53239851,Hyllest til halvmørket,Jun'ichirō Tanizaki,"Tanizaki, Jun'ichirō",,"=""""","=""9788232803163""",0,4.04,Forlaget Press,Hardcover,102,2020,1933,,2020/09/01,to-read,to-read (#2),to-read,,,,0,0
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0375704027""","=""9780375704024""",5,4.01,Vintage Books,Paperback,296,2000,1987,2020/08/31,2020/06/18,,,read,"Watanabe really acts like is life is lame, but then he recalls his life and it's really wild. And then you read the book and you're like not a lot happens in this book but then you finish it and look back and realise a lot happened. It's crazy. This book is crazy, like it really made an impression on me and I don't even know why.<br/>It's just a book about sex and suicide, and japanese teens like it for some reason.<br/><br/>Also wow I wish I was a lame nerdy sex god with tons of manic pixie dream girls swooning over me.",true,,1,0
